,hasType,eventName,date,latitude,longitude,hasLocation,hasSubtype,declarationOfCalamity,evacuationCenters,affectedBarangays,dead,injured,missing,affectedFamilies,affectedPersons,displacedFamilies,displacedPersons,totallyDamagedHouses,partiallyDamagedHouses,infraDamageAmount,agricultureDamageAmount,commercialDamageAmount,powerAffected,communicationAffected,roadAndBridgesAffected,seaportsAffected,airportsAffected,areDamsAffected,isTapAffected,allocatedFunds,agencyLGUsPresent,internationalOrgsPresent,amoungNGOs,itemCostGoods,itemQtyGoods,itemCostWater,itemQtyWater,itemCostClothing,itemQtyClothing,itemCostMedicine,itemQtyMedicine,itemCostOthers,reference,otherDescription,otherDescription,otherDescription,startDate,endDate
530,Tropical Cyclone,Typhoon Helming,1999-07-25 00:00:00,,,NCR; I; CAR; III,,"Agno river Basin Hydrological Response - expected to rise within the next 24 hours. Possibility of flooding in the low lying areas : Binalonan, San Jacinto, Laoc, Manaoag, Mangaldan, Mapandan, Santa Barbara, Calasiao, Bayambang, Bautista, Alcala, Santo Tomas, Urbiztondo, Mangatarem, Aguilar, Bugallon, Labrador, Lingayen, Urdaneta, Dagupan, and San Carlos.",,46,,,1,11,55,Evacuees stayed with relatives,,3,,Php 13.630M,Php 2.511M,,"CAR Kapangan - Kibungan Road was closed to all vehicles, Mt. Province declared not passable due to landslide. Pampanga Mancatian Bridge not passable and Pulong Maragul also not passable.",,,,,,,,,,,,,,,,,,,,Destructive Typhoons 1999. OCD NDCC Reports,,,,1999-07-25,1999-07-25
531,Tropical Cyclone,Typhoon Etang and Tropical Depression Gening,"June 4-5, 1999",,,Region V; III; I; II,"Lahar, Flood (General), Landslide (Wet)",,,,9,9,1,363 (Region 3),1521 (Region 3),260 (Region 1 and 3),1073 (Region 1 and 3),67 (Region 3),142 (Region 3),,"For Region 2 and Region 3 - Php 67, 550.00",,,,"Abra-Kalinga-Road - km 471-485 closed, Kalinga Tabuk Banaue is hardly passable due to slippery roads km 509-516",,,,,,,,,,"5 sacks of rice, 1 case of sardines, 1 box of noodles for Barangay Tabucolan. 5 sacks of rice, 6 boxes of canned goods, 1 box of sardines, 1 box pork and beans, 1 box of meat loaf for Brgy. Pasongol and Brgy. Fuerte in Ilocos Sur. Region III MDCC Mariveles, family packs consisting of 2 kilos of rice, 2 canned goods, 2 packs of noodles. 2 kilos of rice, 2 canned goods, 2 packs of noodles per family for Mariveles, Bataan",,,,"Blanket per family in Mariveles, Bataan",,,,Destructive Typhoons 1999. OCD NDCC Reports,,,,1999-06-04,1999-06-05
534,Drought,The Extraordinary Drought in the Philippines,"October 1911 - May 1912
",,,Manila,,,,,,,,,,,,,,,"1) Production number of the following crops were reduced : rice, corn, root crops, coconuts, abaca (almost all crops) 2) Insufficient and delayed yield
",,,,,,,,,,,,,,,,,,,,,,"1) Rev. Jose Coronas S.J.. Chief, Meteorological Division, Weather Bureau, Manila Observatory. (1920) The Climate and Weather of the Philippines, 1903-1918, pg.44,111, 115. Manila: Bureau of Printing. URL: http://name.umdl.umich.edu/AGH9000.0001.001 2) ""Remarkable Drought in the Philippines"" (1913).  Nature, Volume 91, No. 2277, pg. 409. Nature Publishing Group. ","1) Highest temperature recorded for the month of April is 37.5C while for May, it is 38.3C 2) The observed drought is considered as the worst since the observatory's establishment. 3) Recorded total rainfall of Manila is 3.73 in, April is the driest month. The recorded rainfall data is 0.03 in. 4) Data from other stations covered only a short period of time which makes it not as convincing as those with Manila.","A publication material entitled ""The Extraordinary Drought in the Philippines, October, 1911 to May, 1912"" by Rev. Jose Coronas, S.J. was published by the Bureau of Printing and distributed in Manila in 1912. ",,1911-10-01,1912-05-31
535,Drought,The Extraordinary Drought in the Philippines,1849,,,Manila,,,,,,,,,,,,,,,Amount of rainfall around the month of August may be considered as one of the lowest possible before the advent of instrumental observation which started around 1865,,,,,,,,,,,,,,,,,,,,,,"1) Warren, J.F. (2013). Climate Change and the Impact of Drought on Human Affairs and Human History in the Philippines, 1582-2009. (Working Paper No. 174 ISSN No. 1037-4612). National Library of Australia, Murdoch University, Perth, Western Australia. Retrieved from https://www.murdoch.edu.au/Research-capabilities/Asia-Research-Centre/_document/Warren-drought-paper--final-version-copy-3-3.pdf 2)  Miller, Hugo Herman (1913). Economic conditions in the Philippines, pg. 147. Boston, New York (etc.): Ginn and Company URL: http://name.umdl.umich.edu/AFQ6770.0001.001",,"The drought of 1849, according to Warren (2013), was included in the circular which was distributed by the Manila Cathedral. The circular was written by  the Archbishop of Manila, Fr. Jose Aranguren . This circular reflects in the reports written by Rev. Miguel Selga S.J., Director of Weather Bureau during that time. ",,1849-01-01,1849-12-31
536,Drought,The Extraordinary Drought in the Philippines,1878,,,Negros Occidental; Aklan; Iloilo; Capiz; Antique,,,,,Widespread mortality,,,,,,,,,,"Reduced prices of sugar, inflated price of rice, unemployment",,,,,,,,,,,,,,,,,,,,,,"1) Warren, J.F. (2013). Climate Change and the Impact of Drought on Human Affairs and Human History in the Philippines, 1582-2009. (Working Paper No. 174 ISSN No. 1037-4612). National Library of Australia, Murdoch University, Perth, Western Australia. Retrieved from https://www.murdoch.edu.au/Research-capabilities/Asia-Research-Centre/_document/Warren-drought-paper--final-version-copy-3-3.pdf 2) Rev. Jose Coronas S.J.. Chief, Meteorological Division, Weather Bureau, Manila Observatory. (1920)The Climate and Weather of the Philippines, 1903-1918, pg.44. Manila: Bureau of Printing. URL: http://name.umdl.umich.edu/AGH9000.0001.001","FOR MANILA: From 1865 to 1880, the only year with the maximum temperature greater than the recorded in 1915 (38.6C) is the year 1878. Absolute maximum temperature on May 17 is 39.7C, May 2 is 38.7C, and on April 29 it is 39.2C","1878 was chosen because according to Warren (2013), most of the sources used indicate that a drought season happened during the said year. The list can be found in Table 2 of page 8 in the paper. ",,1878-01-01,1878-12-31
537,Drought,The Extraordinary Drought in the Philippines,1902-1903,,,Cebu; Leyte; Mindanao,,,,,,,,,"Poor peasants, women (because they are tasked to find and provide for their constituents during this time)",,,,,,1) Cebu's corn almost reached total failure 2) A reduction in the agricultural production due to limited amount or lack of rainfall specifically in the growth of rice in Luzon and Leyte 3) Cebu experienced famine 4) The municipality of Amburayan experienced failure in rice crops,,,,,,,1) Lack of clean and potable water supply 2) Water is sold at extremely high prices in Guimaras,,,,,,,,,,,,,,,"1) ""SeventhAnnual Report of the Secretary of the Interior to the Philippine Commission for the Fiscal Year Ended June 30, 1908 Manila Bureau of Printing"" (1908). Washington: Government Printing Office. URL: http://name.umdl.umich.edu/ACC6740.1908.001 2) Rev. Jose Coronas S.J.. Chief, Meteorological Division, Weather Bureau, Manila Observatory. (1920) The Climate and Weather of the Philippines, 1903-1918, pg. 115. Manila: Bureau of Printing. URL: http://name.umdl.umich.edu/AGH9000.0001.001 3)  Warren, J.F. (2013). Climate Change and the Impact of Drought on Human Affairs and Human History in the Philippines, 1582-2009. (Working Paper No. 174 ISSN No. 1037-4612). National Library of Australia, Murdoch University, Perth, Western Australia. Retrieved from https://www.murdoch.edu.au/Research-capabilities/Asia-Research-Centre/_document/Warren-drought-paper--final-version-copy-3-3.pdf",,"The municipality of Amburayan's reviving crop production  due to drouth as stated in the ""7th Annual Report of the Secretary of the Interior to the Philippine Commission for the Fiscal Year Ended June 30, 1908"" by Manila Bureau of Printing (1908) is assumed to be  the drought of 1902-1903, the nearest reported drouth year to 1908.",,1902-01-01,1903-12-31
538,Drought,The Extraordinary Drought in the Philippines,1968-1969,,,Region V,,,,,,,,,,,,,,,"500,000 mt of corn and rice",,,,,,,,,,,,,,,,,,,,,,"HIlario, F., De Guzman, R., Ortega, D., Hayman, P., & Alexander, B. (2009). El Nino Southern Oscillation in the Philippines: Impacts, Forecasts, and Risk Management. Philippine Journal of Development, Volume 36, No. 1, 13-17. Retrieved from https://dirp3.pids.gov.ph/ris/pjd/pidspjd09-1enso.pdf.",,,,1968-01-01,1969-12-31
540,Tropical Cyclone,Nando (Kong Rey),"August 25-29, 2013",Not applicable,Not applicable,"Sarat, Piddig, Laoaog City, Paoay, Nueva Era, Ilocos Norte; Almagro, Samar; Tublay, Baguio City, Benguet; Bulan, Magallanes, Sorsogon;","Flood (General), Flashflood, Landslide (Wet)",Blue and Red Alert Status/ Tropical Storm,4,30,1,1,0,3699,17741,20,Not indicated,0,10,70000,Not indicated,Not indicated,Not indicated,Not indicated,Four (4) roads were closed to traffic due to landslides in the Province of Benguet and llocos Norte,77 passengers and 12 Motorized Bancas (MSCAs) were stranded in Bicol and Cagayan Region,Not indicated,Binga and Ambuklao Dams opened one (1) gate each to releas water from the reservoir in anticipation of the expected heavy inflow due to the weather disturbance,Not indicated,411127.59,Not indicated,Not indicated,Not indicated,16971212.48,67649,Not indicated,Not indicated,Not indicated,Not indicated,Not indicated,Not indicated,111336249.48,"OCD-NDRRMC (2013). Final report re Effects Preparedness Measures and Effects of Tropical Storm ""NANDO"" (KONG~REY). OCD-NDRRMC, Camp Aguinaldo, Quezon City, p. 9. Accessed March 10, 2018.",,,,2013-08-25,2013-08-29
541,Tropical Cyclone,Yolanda (Haiyan),"November 6-9, 2013",Not applicable,Not applicable,Region 4-A; 4-B; 5; 6; 7; 8; 10; 11; 13,"Storm Surge, Flood (General), Flashflood, Landslide (Wet)",Red Alert Status/ Tropical Cyclone/ Storm Surge,812,12139,6300,28688,1062,3424593,16078181,1093023,5130580,550928,589404,9584596306,25248043377,24431165315,Power blackout due to heavy damages to transmission lines in all affected regions,All telecommunication facilities were down in all affected regions,Not specified,"A total of 10,974 families with 54,795 persons ( to include 2, 149 stranded passengers) were affected",Not specified,Not indicated,Not indicated,4160639 (region 5 only),Yes,Not indicated,Not indicated,Not indicated,At least 368962 food packs,Not indicated,Not indicated,Not indicated,Not indicated,At least 2549504.95,Not specified,Not indicated,"OCD-NDRRMC (2013).FINAL REPORT re EFFECTS of Typhoon ""YOLANDA'' (HAIYAN). OCD-NDRRMC, Camp Aguinaldo, Quezon City, p. 9. Accessed March 10, 2018.",,,,2013-11-06,2013-11-09
542,Tropical Cyclone,Vinta (Krosa),"October 29 - November 1, 2013",Not applicable,Not applicable,Region 1; 2; CAR,,RED Alert Status,65,688,4,1,2,55369,265769,14655,70658,3897,33626,4007140,272923976.63,0,"Power outage has been experienced in the provinces of
 Apayao, llocos Norte, and Cagayan","Communication outage has been experienced in the provinces of
 Apayao, llocos Norte, and Cagayan",Six (6) roads and three (3) bridges were declared impassable during the height of the typhoon in Regions II and CAR were already passable,Not indicated,Not indicated,Not indicated,Not indicated,3672423.68,Not indicated,Not indicated,Not indicated,12080393.29,44581,Not indicated,Not indicated,Not indicated,Not indicated,Not indicated,Not indicated,76945232.24,"OCD-NDRRMC (2013). FINAL REPORT re Effects of Typhoon ""VINTA"" (KROSA). OCD-NDRRMC, Camp Aguinaldo, Quezon City, p. 9. Accessed March 10, 2018.",,,,2013-10-29,2013-11-01
543,Tropical Cyclone,Odette (Usagi),"September 16-22, 2013",Not applicable,Not applicable,Region CAR; 1; 2; 3; 4-B; 5; 6,"Landslide (Wet), Flood (General), Tornado, Storm Surge",RED Alert Status,24,180,4,0,2,17041,79127,1575,6657,586,2877,308022540,32315986.86,,"Power interruptions were experie nced in lfugao , Kal inga , Apayao , and Baguio, City in CAR ; 8atanes an d Calay an Group of Islands ; and Sablayan and Abrade llog in Occidental Mindoro for almost three (3) days",,"Nine (9) road sections (2 in Re gion I, 1 in Region II , and 6 in CAR) were rende red impassable during th e height of TY Odette . 4 Roads in CAR was impassable due to landsl ide and falling debris wh ile the 8albalan - Pinukpuk Road in 8enguet Regions I a nd II were rendered impassable due to floodwaters",56 passengers were stranded,,Two (2) ma j or dams in Benguet reached their critical levels .,,15018258.6,Yes,Not indicated,4957210,Not clear,"At least 26,118 family food packs and other non-food items",Not indicated,Not indicated,Not indicated,Not indicated,Not indicated,Not indicated,Not indicated,"OCD-NDRRMC (2013). FINAL REPORT re Effects of Typhoon ""ODETTE"" (USAGI). OCD-NDRRMC, Camp Aguinaldo, Quezon City, p. 9. Accessed March 10, 2018.",,,,2013-09-16,2013-09-22
544,Tropical Cyclone,Auring (Sonamu),"January 03-04, 2013",Not applicable,Not applicable,Region 4-B; 9; 11,,,9,30,2,12,,2611,10597,2573,10423,63,122,1500000,,,,,,,,,,,,,,,,,,,,,,,"OCD-NDRRMC (2013). FINAL REPORT re Effects of Typhoon ""AURING"" (SONAMU). OCD-NDRRMC, Camp Aguinaldo, Quezon City, p. 9. Accessed March 10, 2018.",,,,2013-01-03,2013-01-04
545,Tropical Cyclone,Bising,"January 11-13, 2013",Not applicable,Not applicable,Region 11; 12; 13,,,25,66,,,,5454,16801,2756,7880,,,,,,,,,,,,,,,,,,,,,,,,,,"OCD-NDRRMC (2013). FINAL REPORT re Effects of Typhoon ""BISING"". OCD-NDRRMC, Camp Aguinaldo, Quezon City, p. 9. Accessed March 10, 2018.",,,,2013-01-11,2013-01-13
546,Tropical Cyclone,Crising,"February 18-21, 2013",Not applicable,Not applicable,Region 4-B; 6; 7; 8; 9; 10; 11; 12; 13; ARMM,,,31,255,12,4,2,72086,360577,,,,,,11241800,,,,,,,,,,,,,,,,,,,,,,"OCD-NDRRMC (2013). FINAL REPORT re Effects of Typhoon ""CRISING"". OCD-NDRRMC, Camp Aguinaldo, Quezon City, p. 9. Accessed March 10, 2018.",,,,2013-02-18,2013-02-21
547,Tropical Cyclone,Fabian,"June 20-21, 2013",Not applicable,Not applicable,4-B,,,0,,0,,,49,198,49,198,0,2,,,,,,,,,,,,,,,,,,,,,,,,"OCD-NDRRMC (2013). FINAL REPORT re Effects of Typhoon ""FABIAN"". OCD-NDRRMC, Camp Aguinaldo, Quezon City, p. 9. Accessed April 12, 2018.",,,,2013-06-20,2013-06-21
548,Tropical Cyclone,Rumbia,"June 27 - July 1, 2013",Not applicable,Not applicable,Region 4A; 4B; 5; 6; 8,"Landslide (Wet), Flood (General), Tornado",,12,25,7,4,,1329,6418,674,3972,23,48,,,,,,,,,,,,,,,,,,,,,,,,"OCD-NDRRMC (2013). FINAL REPORT re Effects of Typhoon ""GORIO."" OCD-NDRRMC, Camp Aguinaldo, Quezon City, p. 9. Accessed April 12, 2018.",,,,2013-06-27,2013-07-01
549,Tropical Cyclone,Labuyo (Utor),"August 9-12, 2013",Not applicable,Not applicable,Region 1; 2; 3; 5; CAR,,,27,752,11,7,2,90026,407493,10228,44598,2592,18605,573833585,1004576143,,,,,,,,,,,,,,,,,,,,,,"OCD-NDRRMC (2013). FINAL REPORT re Effects of Typhoon ""LABUYO."" OCD-NDRRMC, Camp Aguinaldo, Quezon City, p. 9. Accessed April 12, 2018.",,,,2013-08-09,2013-08-12
550,Tropical Cyclone,Maring (Trami),"August 17-21, 2013",Not applicable,Not applicable,Region 1; 3; 4A; 4B; CAR; NCR,,,1216,2154,32,3,3,697263,3110165,86729,396872,654,1987,860630279,784475046,,,,,,,,,,,,,,,,,,,,,,"OCD-NDRRMC (2013). FINAL REPORT re Effects of Typhoon ""MARING (TRAMI) OR HABAGAT"" OCD-NDRRMC, Camp Aguinaldo, Quezon City, p. 9. Accessed April 12, 2018.",,,,2013-08-17,2013-08-21
551,Tropical Cyclone,Paolo (Wutip),"September 26-13, 2013",Not applicable,Not applicable,3; 4-A; 4-B,,,0,,1,2,,17,64,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-09-26,2013-09-13
552,Tropical Cyclone,Santi (Nari),"October 8-13, 2013",Not applicable,Not applicable,Region 1; 2; 3; 4A; 4B; 5; CAR,,,39,,15,32,5,179603,733181,1275,5704,,,130320949,3168813878,,,,,,,,,,,,,,,,,,,,,,,,,,2013-10-08,2013-10-13
553,Tropical Cyclone,Agaton,"January 17-20, 2014",Not applicable,Not applicable,Region 5; 9; 10; 11; 12; 13; ARMM,,,1091,,70,86,9,236449,1092398,87864,402494,1704,2327,2674915000,293090000,26729000,,,,,,,,,,,,,,,,,,,,,,,,,2014-01-17,2014-01-20
554,Tropical Cyclone,Basyang (Kajiki),"January 30 - February 1, 2014",Not applicable,Not applicable,Region 6; 7; 8; 13,,,1,,6,1,,10482,47740,,,65,325,8535000,607000,,,,,,,,,,,,,,,,,,,,,,,,,,2014-01-30,2014-02-01
555,Tropical Cyclone,Caloy,"March 21-22, 2014",Not applicable,Not applicable,Region 8; 11; 13,,,9,,,,,3891,19329,396,1890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-03-21,2014-03-22
556,Tropical Cyclone,Glenda,"July 13-17, 2014",,,Region NCR; 1; 3; 4A; 4B; 5; 6; 8; CAR,,,3215,,106,1257,5,1028319,4673967,238575,1103177,112067,521613,4520013000,33849190000,247407000,,,,,,,,,,,,,,,,,,,,,,,,,2014-07-13,2014-07-17
557,Tropical Cyclone,Henry (Matmo),"July 18-23, 2014",Not applicable,Not applicable,Region 4B; 6; 8; 10,,,1,,,15,,214,831,214,831,47,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-07-18,2014-07-23
558,Tropical Cyclone,Jose (Halong),"August 2-7, 2014",Not applicable,Not applicable,Region 1; 3,,,,,2,,,4355,15769,,,,,,1624000,,,,,,,,,,,,,,,,,,,,,,,,,,2014-08-02,2014-08-07
559,Tropical Cyclone,Luis (Kalmaegi),"September 12-15, 2014",Not applicable,Not applicable,Region NCR; 1; 2; 3; 4-A; 4-B; 5; 6; 8; CAR,,,,,5,2,0,116733,508367,,,194,2145,84691000,1111418000,,,,,,,,,,,,,,,,,,,,,,,,,,2014-09-12,2014-09-15
560,Tropical Cyclone,Mario (Fung-Wong),"September 17-21, 2014",Not applicable,Not applicable,Region NCR; 1;2; 3; 4-A; 4-B; 5; 7; CAR,,,,,18,16,4,453190,2052141,,,2256,9335,646018000,3105674,,,,,,,,,,,,,,,,,,,,,,,,,,2014-09-17,2014-09-21
561,Tropical Cyclone,Quennie (Sinlaku),"November 26-28, 2014",Not applicable,Not applicable,Region 4-B; 6; 7; 8; 10; 11; 13,,,,,4,2,8,13182,65239,,,343,3399,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-11-26,2014-11-28
562,Tropical Cyclone,Ruby (Hagupit),"December 3-10, 2014",Not applicable,Not applicable,Region NCR; 3; 4A; 4B; 6; 7; 8; 13,,,,,24,1913,,992729,4363677,,,42634,249433,2048475000,3635824000,,,,,,,,,,,,,,,,,,,,,,,,,,2014-12-03,2014-12-10
563,Tropical Cyclone,Seniang,"December 28-31, 2014",Not applicable,Not applicable,Region 4-B; 6; 7; 8; 9; 10; 11; 13,,,984,,66,43,6,129375,602627,92644,425073,654,2869,552383000,719206000,,,,,,,,,,,,,,,,,,,,,,,,,,2014-12-28,2014-12-31
564,Tropical Cyclone,Amang (Mekkhala),"january 15-19, 2015",Not applicable,Not applicable,Region 5; 7; 8,,,2,343,2,0,0,25201,106808,105,420,49,491,829816000,507447000,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-15,2015-01-19
565,Tropical Cyclone,Chedeng (Maysak),"April 1-5, 2015",Not applicable,Not applicable,Region 2; 3,,,,61,,,,708,2761,708,2761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-01,2015-04-05
566,Tropical Cyclone,Dodong (Noul),"May 7-12, 2015",Not applicable,Not applicable,Region 1; 2,,,,45,2,,,1279,4523,473,2432,,,3800000,12499000,,,,,,,,,,,,,,,,,,,,,,,,,,2015-05-07,2015-05-12
567,Tropical Cyclone,Egay (Linfa),"July 2-7, 2015",Not applicable,Not applicable,Region 1; 4-B; CAR,,,,269,,,,13280,55567,13280,55567,7,198,66966000,147687000,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-02,2015-07-07
568,Tropical Cyclone,"HANNA"" (SOUDELOR)","August 5-8, 2015",Not applicable,Not applicable,Region 2; 6; 7; 10; 12,,,6,43,,,,11880,58255,776,3377,20,,,363000,,,,,,,,,,,,,,,,,,,,,,,,,,2015-08-05,2015-08-08
569,Tropical Cyclone,Ineng (Goni),"August 18-23, 2015",Not applicable,Not applicable,Region 1; 2; 3; 4A; 4B; CAR,,,,,33,24,7,87704,387999,817,3078,188,5554,2333560000,2183349000,29707000,,,,,,,,,,,,,,,,,,,,,,,,,2015-08-18,2015-08-23
570,Tropical Cyclone,Jenny (DUJUAN),"September 23-29, 2015",Not applicable,Not applicable,Region NCR,,,,,,,,2561,12781,2561,12781,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-09-23,2015-09-29
571,Tropical Cyclone,Kabayan (Mujigae),"October 1-3, 2015",Not applicable,Not applicable,Region 1; 3,,,,93,1,3,12,12281,59568,12281,59568,97,606,40600000,6258000,,,,,,,,,,,,,,,,,,,,,,,,,,2015-10-01,2015-10-03
572,Tropical Cyclone,Lando (Koppu),"October 11-21, 2015",Not applicable,Not applicable,Region NCR; 1;2;3;4A;4B;5; CAR,,,981,3523,58,87,4,733152,3126130,55861,251123,18795,118885,3482027000,10910419000,,,,,,,,,,,,,,,,,,,,,,,,,,2015-10-11,2015-10-21
573,Tropical Cyclone,Nona (Melor),"December 12-13, 2016",Not applicable,Not applicable,Region NCR; 1;2;3;4A;4B;5;8,,,2773,,51,28,4,303507,1349532,148014,663558,110539,208145,1413281859,5623773089,,,,,,,,,,,,,,,,,,,,,,,,,,2016-12-12,2016-12-13
